key,total_opinion,TRUE_polar_ans,FALSE_polar_ans,accuracy,TP,TN,FP,FN,Positive,Negative
everything,2,2,0,100.00%,2,0,0,0,2,0
french,2,2,0,100.00%,2,0,0,0,2,0
one,2,1,1,50.00%,0,1,0,1,0,2
bread,2,2,0,100.00%,1,1,0,0,1,1
line,2,2,0,100.00%,0,2,0,0,0,2
sampler,2,0,2,0.00%,0,0,0,2,0,2
entree,1,0,1,0.00%,0,0,1,0,1,0
margarita,1,1,0,100.00%,1,0,0,0,1,0
watermelon,1,1,0,100.00%,1,0,0,0,1,0
filling,1,1,0,100.00%,1,0,0,0,1,0
kitchen,1,0,1,0.00%,0,0,0,1,0,1
change,1,1,0,100.00%,1,0,0,0,1,0
area,1,1,0,100.00%,1,0,0,0,1,0
patio,1,1,0,100.00%,1,0,0,0,1,0
beer,1,1,0,100.00%,1,0,0,0,1,0
met,1,0,1,0.00%,0,0,1,0,1,0
expectations,1,0,1,0.00%,0,0,1,0,1,0
wait,1,0,1,0.00%,0,0,0,1,0,1
pace,1,1,0,100.00%,1,0,0,0,1,0
gator,1,0,1,0.00%,0,0,0,1,0,1
errol,1,1,0,100.00%,1,0,0,0,1,0
oceana,1,1,0,100.00%,1,0,0,0,1,0
atmosphere,1,1,0,100.00%,1,0,0,0,1,0
yep,1,1,0,100.00%,1,0,0,0,1,0
étouffée,1,1,0,100.00%,1,0,0,0,1,0
orleansit,1,1,0,100.00%,1,0,0,0,1,0
po,1,1,0,100.00%,1,0,0,0,1,0
rating,1,0,1,0.00%,0,0,1,0,1,0
doggie,1,1,0,100.00%,1,0,0,0,1,0
vegetables,1,1,0,100.00%,0,1,0,0,0,1
succulent,1,1,0,100.00%,1,0,0,0,1,0
blend,1,1,0,100.00%,1,0,0,0,1,0
environment,1,1,0,100.00%,1,0,0,0,1,0
first,1,1,0,100.00%,1,0,0,0,1,0
breakfast,1,0,1,0.00%,0,0,0,1,0,1
courtyard,1,1,0,100.00%,1,0,0,0,1,0
dinner,1,1,0,100.00%,1,0,0,0,1,0
breading,1,1,0,100.00%,0,1,0,0,0,1
bbq,1,1,0,100.00%,0,1,0,0,0,1
appetizers,1,1,0,100.00%,1,0,0,0,1,0
single,1,1,0,100.00%,0,1,0,0,0,1
well,1,1,0,100.00%,1,0,0,0,1,0
platter,1,1,0,100.00%,1,0,0,0,1,0
martini,1,1,0,100.00%,1,0,0,0,1,0
customer,1,1,0,100.00%,1,0,0,0,1,0
current,1,1,0,100.00%,1,0,0,0,1,0
gras,1,1,0,100.00%,1,0,0,0,1,0
serverponce,1,1,0,100.00%,1,0,0,0,1,0
grits,1,1,0,100.00%,1,0,0,0,1,0
biscuit,1,1,0,100.00%,1,0,0,0,1,0
bacon,1,1,0,100.00%,1,0,0,0,1,0
training,1,1,0,100.00%,1,0,0,0,1,0
vibe,1,1,0,100.00%,1,0,0,0,1,0
house,1,1,0,100.00%,1,0,0,0,1,0
tropical,1,1,0,100.00%,1,0,0,0,1,0
flavor,1,1,0,100.00%,1,0,0,0,1,0
etouffee,1,1,0,100.00%,1,0,0,0,1,0
poboy,1,1,0,100.00%,1,0,0,0,1,0
pudding,1,1,0,100.00%,1,0,0,0,1,0
marys,1,1,0,100.00%,1,0,0,0,1,0
bloody,1,1,0,100.00%,1,0,0,0,1,0
huge,1,1,0,100.00%,1,0,0,0,1,0
mardi,1,1,0,100.00%,1,0,0,0,1,0
city,1,1,0,100.00%,1,0,0,0,1,0
jambalaya,1,1,0,100.00%,1,0,0,0,1,0
goodness,1,1,0,100.00%,1,0,0,0,1,0
manager,1,1,0,100.00%,1,0,0,0,1,0
chocolate,1,1,0,100.00%,1,0,0,0,1,0
white,1,1,0,100.00%,1,0,0,0,1,0
storm,1,1,0,100.00%,1,0,0,0,1,0
clubs,1,1,0,100.00%,1,0,0,0,1,0
star,1,1,0,100.00%,1,0,0,0,1,0
third,1,1,0,100.00%,1,0,0,0,1,0
fettuccini,1,0,1,0.00%,0,0,1,0,1,0
greens,1,1,0,100.00%,0,1,0,0,0,1
redfish,1,1,0,100.00%,1,0,0,0,1,0
blackened,1,1,0,100.00%,1,0,0,0,1,0
waitor,1,1,0,100.00%,1,0,0,0,1,0
ponchatran,1,1,0,100.00%,1,0,0,0,1,0
catfish,1,1,0,100.00%,1,0,0,0,1,0
location,1,1,0,100.00%,1,0,0,0,1,0
boys,1,1,0,100.00%,1,0,0,0,1,0
